City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.8909,-109.9124,73.71,72,0,3.44,clear sky
1,Kapaa,US,22.0752,-159.319,80.92,68,20,16.11,few clouds
2,Antofagasta,CL,-23.65,-70.4,67.28,80,16,5.3,few clouds
3,Atuona,PF,-9.8,-139.0333,78.69,74,5,14.18,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,72.55,95,8,1.99,clear sky
5,Puri,IN,19.8,85.85,59.52,48,0,10.42,clear sky
6,Katsuura,JP,35.1333,140.3,52.56,59,2,5.59,clear sky
7,Port Alfred,ZA,-33.5906,26.891,68.5,83,0,10.31,clear sky
8,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,100,9.22,light snow
9,Ushuaia,AR,-54.8,-68.3,67.66,49,75,6.91,light rain
10,College,US,64.8569,-147.8028,6.75,78,100,0.0,light snow
11,Zhigansk,RU,66.7697,123.3711,-33.54,99,100,9.35,overcast clouds
12,Norrtalje,SE,59.758,18.705,37.58,98,100,10.07,overcast clouds
13,Jamestown,US,42.097,-79.2353,31.59,68,100,1.99,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,68.92,83,20,10.36,few clouds
15,Qaanaaq,GL,77.484,-69.3632,-12.48,98,100,2.08,overcast clouds
16,Ercis,TR,39.0287,43.3586,24.15,84,100,4.16,overcast clouds
17,San Francisco,US,37.7749,-122.4194,60.89,79,100,10.36,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,83.19,29,0,4.56,clear sky
19,Panzhihua,CN,26.5851,101.7128,53.01,57,0,0.43,clear sky
20,Punta Arenas,CL,-53.15,-70.9167,62.71,59,0,6.91,clear sky
21,Hobart,AU,-42.8794,147.3294,79.27,63,1,1.99,clear sky
22,Port Elizabeth,ZA,-33.918,25.5701,65.32,94,0,4.61,clear sky
23,Nanortalik,GL,60.1432,-45.2371,27.97,71,100,13.49,overcast clouds
24,Sibu,MY,2.3,111.8167,77.31,88,20,3.44,few clouds
25,New Norfolk,AU,-42.7826,147.0587,78.91,35,0,3.0,clear sky
26,Bethel,US,41.3712,-73.414,34.11,78,0,0.0,clear sky
27,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,58,0,8.05,clear sky
28,Castro,BR,-24.7911,-50.0119,57.49,98,31,8.05,scattered clouds
29,Busselton,AU,-33.65,115.3333,78.87,41,0,6.6,clear sky
30,San Joaquin,US,37.9333,-121.3011,57.85,82,0,12.66,clear sky
31,Sebrovo,RU,50.0981,43.2976,5.97,95,99,4.43,overcast clouds
32,Kaitangata,NZ,-46.2817,169.8464,70.84,53,0,9.06,clear sky
33,Victoria,HK,22.2855,114.1577,68.38,72,100,5.99,overcast clouds
34,Lebu,CL,-37.6167,-73.65,59.07,94,4,4.97,clear sky
35,Nouadhibou,MR,20.931,-17.0347,66.18,37,2,14.97,clear sky
36,Yulara,AU,-25.2406,130.9889,80.47,45,34,26.4,scattered clouds
37,Upernavik,GL,72.7868,-56.1549,-18.11,92,17,8.66,few clouds
38,Rikitea,PF,-23.1203,-134.9692,78.67,74,2,13.6,clear sky
39,Placer,US,39.0666,-120.7677,44.67,90,100,3.0,overcast clouds
40,Codrington,AU,-38.2667,141.9667,68.81,62,100,13.13,overcast clouds
